1007807467571613703	Radio_Emergenci	2018-06-16 02:09:59	22:09 en Maipú 10-3 B4 Camino a Melipilla y Avenida Los Pajaritos https://t.co/92B31ruXS5	Maipú
1007807472973897733	fdo2000	2018-06-16 02:10:00	22:09 en Maipú 10-3 B4 Camino a Melipilla y Avenida Los Pajaritos https://t.co/QyAWlm0DEx	Maipú
1007807474093748224	daro_396	2018-06-16 02:10:00	No quiero comer solo	Paine
1007807479634374656	RVC_V_COSTA	2018-06-16 02:10:01	22:09 en Maipú 10-3 B4 Camino a Melipilla y Avenida Los Pajaritos https://t.co/lDx9dSW49i	Maipú
1007807482360750080	carrosdebombero	2018-06-16 02:10:02	22:09 en Maipú 10-3 B4 Camino a Melipilla y Avenida Los Pajaritos https://t.co/TjflZ1bSMR	Maipú
1007807485934231552	PilarRiedemann	2018-06-16 02:10:03	Soy requetemina y esta noche me dare el gusto de ver box en @canal13 ,mi opapa me llevaba a escondidas a gloriosas… https://t.co/uQxpcHxHmt	Puerto Varas
1007807487276453890	BombaCerrillos	2018-06-16 02:10:03	22:09 en Maipú 10-3 B4 Camino a Melipilla y Avenida Los Pajaritos https://t.co/48tSEdoPOF	Maipú
1007807484743077889	DEEJAY_BOMBER	2018-06-16 02:10:03	22:09 en Maipú 10-3 B4 Camino a Melipilla y Avenida Los Pajaritos https://t.co/jreZCebl9a	Maipú
1007807489428123648	EmergenciaRCHE	2018-06-16 02:10:04	22:09 en Maipú 10-3 B4 Camino a Melipilla y Avenida Los Pajaritos https://t.co/GmTMmuz67o	Maipú
1007807495883116548	PedroS_RRPP	2018-06-16 02:10:05	Csm que aburrido estoy	Santiago
1007807503344852992	rob_esponja_	2018-06-16 02:10:07	Se descarga tan rápido mi celular u.u	Valparaíso
1007807484743077889	DEEJAY_BOMBER	2018-06-16 02:10:03	22:09 en Maipú 10-3 B4 Camino a Melipilla y Avenida Los Pajaritos https://t.co/jreZCebl9a	Maipú
1007807514837180416	nigisella	2018-06-16 02:10:10	@leguleeella me voy a varar a ver ahora aaaah	Providencia
1007807515919376386	Rorrock_01	2018-06-16 02:10:10	Acabamos de hacer un salud x nuestro compañero a un mes de su accidente, fuerte recuerdo!	Providencia
1007807518066839552	IgnacioMeza_	2018-06-16 02:10:11	@_Caro_Quinza Jajajaja así parece 😂	Talca
1007807532642037760	eugenio_bo	2018-06-16 02:10:14	@latercera Enfermos del psiquiátrico libres en Santiago de Chile,quieren cambiar la forma de escritura española.	Osorno
1007807535007633409	Red_Com_Emerg	2018-06-16 02:10:15	Calidad aire #Talcahuano https://t.co/so3h1QB22n	Tomé
1007807541018013696	juanpasteng	2018-06-16 02:10:16	@DonDateador ¡ Welcome Lady...! 🤣	Santiago
